year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1954,183.2,0.5032967,0,15.799999,2623.9426,7.2086334,-15.420913,28.016584,42.86549612,-108.727065
1955,286.6,0.78736264,0,14.399999,1825.6344,5.015479,-21.366753,26.187416,42.86549612,-108.727065
1956,269.7,0.7389041,0,15.1,2181.228,5.9759674,-21.081331,24.624916,42.86549612,-108.727065
1957,510.60004,1.4027474,0,31.600002,1998.0178,5.48906,-17.537582,24.82908,42.86549612,-108.727065
1958,358,0.98351645,0,26.600004,2187.774,6.010368,-13.600082,22.793669,42.86549612,-108.727065
1959,391.80002,1.0763737,0,21.400002,1834.1802,5.0389566,-24.310503,23.65825,42.86549612,-108.727065
1960,241.19998,0.66082186,0,28.099998,2036.9653,5.580727,-21.550081,25.060335,42.86549612,-108.727065
1961,423,1.1620879,0,22.400003,1903.3239,5.228912,-24.552168,24.824919,42.86549612,-108.727065
1962,320.3,0.87994504,0,21.199999,2093.2156,5.750592,-26.17092,22.8395,42.86549612,-108.727065
1963,420.4,1.154945,0,27.300001,2470.7778,6.7878513,-30.564669,25.358252,42.86549612,-108.727065
1964,306.2,0.83890414,0,19.800001,1825.3802,5.001042,-17.770914,25.233253,42.86549612,-108.727065
1965,487.8,1.3401098,0,40.6,1992.3489,5.473486,-24.348,23.454084,42.86549612,-108.727065
1966,297.19998,0.81648344,0,16.100002,2364.882,6.4969287,-18.379248,26.429087,42.86549612,-108.727065
1967,542.3,1.4898351,0,36.1,2060.1094,5.6596413,-17.273003,22.610336,42.86549612,-108.727065
1968,410.3,1.1241095,0,25.100002,1686.4841,4.6205044,-17.720915,23.451998,42.86549612,-108.727065
1969,335.30002,0.9211539,0,30.000004,2113.6611,5.8067613,-22.818834,24.91242,42.86549612,-108.727065
1970,339.80002,0.93351656,0,26.200003,2116.1511,5.813602,-22.233416,24.077002,42.86549612,-108.727065
1971,454.5,1.2486264,0,31.299995,1845.7073,5.0706244,-23.483414,24.402,42.86549612,-108.727065
1972,430,1.1780822,0,18.400002,1962.4092,5.3764634,-21.83758,24.04992,42.86549612,-108.727065
1973,569.2,1.5637363,0,43.900005,1385.4324,3.8061328,-25.302164,25.981169,42.86549612,-108.727065
1974,323.5,0.88873625,0,40.699997,2236.0488,6.142991,-22.795916,24.841583,42.86549612,-108.727065
1975,432,1.1868132,0,32.899998,1750.7864,4.8098526,-21.76883,24.604086,42.86549612,-108.727065
1976,403.1,1.1043836,0,18.300001,2144.722,5.8759503,-19.835499,25.085333,42.86549612,-108.727065
1977,316.1,0.8684066,0,30.600002,2259.3613,6.2070365,-21.116745,25.637419,42.86549612,-108.727065
1978,450.2,1.2368132,0,37,2328.3325,6.3965178,-15.656333,23.108252,42.86549612,-108.727065
1979,334.4,0.9186813,0,24.3,1798.1802,4.9400554,-28.860498,26.012415,42.86549612,-108.727065
1980,406.30002,1.1131507,0,24,2114.3179,5.7926517,-21.937582,24.193666,42.86549612,-108.727065
1981,335.2,0.9208791,0,29.8,2857.551,7.8504148,-18.498,24.474916,42.86549612,-108.727065
1982,458.59998,1.2598901,0,48.300007,2075.9844,5.7032537,-19.925083,24.345749,42.86549612,-108.727065
1983,417.59998,1.1472527,0,30.699999,2196.53,6.0344234,-19.012583,25.385336,42.86549612,-108.727065
1984,385.5,1.0561644,0,23.599998,1694.005,4.6411095,-26.78967,23.335335,42.86549612,-108.727065
1985,305.1,0.8381868,0,26.300001,2122.4072,5.830789,-22.639666,23.377,42.86549612,-108.727065
1986,421.4,1.1576923,0,25.799997,2225.053,6.112783,-19.116749,23.879087,42.86549612,-108.727065
1987,382.50003,1.0508243,0,16.099998,2175.1323,5.9756384,-17.806332,22.156168,42.86549612,-108.727065
1988,275.5,0.75479454,0,20.5,2667.5386,7.308325,-19.60633,26.387415,42.86549612,-108.727065
1989,387.9,1.0656593,0,20.400003,2271.7385,6.2410398,-25.525084,25.229082,42.86549612,-108.727065
1990,361,0.9917582,0,23.100004,2221.8342,6.10394,-16.41675,24.264502,42.86549612,-108.727065
1991,401.19998,1.1021978,0,38.799995,2021.253,5.552893,-29.279245,23.385336,42.86549612,-108.727065
1941,413.90002,1.137088,0,32.4,2655.7168,7.295925,-17.690914,29.609085,45.57603174,-109.1491165
1942,420.7,1.1557692,0,27.399998,2180.144,5.9894066,-25.649252,26.01325,45.57603174,-109.1491165
1943,404.7,1.1118132,0,41.5,2549.8271,7.0050197,-21.949251,26.021584,45.57603174,-109.1491165
1944,522.5,1.4315069,0,36.199997,2574.0552,7.052206,-18.449251,23.834084,45.57603174,-109.1491165
1945,524.19995,1.4361643,0,20.800003,2090.7385,5.7280507,-18.06175,25.967417,45.57603174,-109.1491165
1946,360.3,0.98983514,0,30.499998,2404.8774,6.6068063,-20.409668,27.442415,45.57603174,-109.1491165
1947,415.2,1.1406593,0,21.900002,1792.3938,4.9241586,-24.430502,26.698668,45.57603174,-109.1491165
1948,384.4,1.0531507,0,21.1,2896.4905,7.9355903,-20.71175,26.973663,45.57603174,-109.1491165
1949,419.4,1.1521978,0,22.8,2510.3374,6.896531,-28.643,29.125753,45.57603174,-109.1491165
1950,535,1.4697802,0,29.300001,1387.4657,3.811719,-29.601915,25.9085,45.57603174,-109.1491165
1951,451.09998,1.2392856,0,26,1531.2126,4.2066283,-31.726912,25.98558,45.57603174,-109.1491165
1952,343.60004,0.94136995,0,40.199997,2199.6335,6.0263934,-25.91025,25.521004,45.57603174,-109.1491165
1953,465.5,1.2788461,0,20.200003,2777.0376,7.6292243,-14.418584,28.146002,45.57603174,-109.1491165
1954,389.90002,1.0711539,0,18.300001,2352.4106,6.4626665,-29.27275,27.487663,45.57603174,-109.1491165
1955,499.90002,1.3733517,0,34.1,1980.3918,5.440637,-23.443583,28.212667,45.57603174,-109.1491165
1956,335.7,0.9197261,0,25,2153.263,5.8993506,-25.716501,27.460587,45.57603174,-109.1491165
1957,601.69995,1.6530218,0,33.899998,1976.9105,5.4310727,-29.447752,26.3585,45.57603174,-109.1491165
1958,366.5,1.0068681,0,16,2603.027,7.151173,-19.993584,26.0335,45.57603174,-109.1491165
1959,421.7,1.1585165,0,48,1883.6814,5.1749487,-32.52275,28.3085,45.57603174,-109.1491165
1960,363.09998,0.9947944,0,34.399998,2364.5522,6.478225,-24.210253,28.431417,45.57603174,-109.1491165
1961,474.90002,1.3046705,0,26.800003,2478.2358,6.80834,-28.822752,28.008501,45.57603174,-109.1491165
1962,544.1,1.4947802,0,24.1,1947.3378,5.349829,-28.214422,24.460587,45.57603174,-109.1491165
1963,483.6,1.3285714,0,21.599998,2657.3982,7.3005443,-28.4665,26.185585,45.57603174,-109.1491165
1964,605.6,1.659178,0,43.5,1929.2377,5.2855825,-18.274834,25.685583,45.57603174,-109.1491165
1965,495.4,1.360989,0,18.9,1717.3688,4.718046,-33.710247,26.641832,45.57603174,-109.1491165
1966,395.3,1.085989,0,21.599997,2281.417,6.267629,-20.364416,27.123083,45.57603174,-109.1491165
1967,574.8,1.5791209,0,24.099998,2217.769,6.092772,-19.595667,24.441833,45.57603174,-109.1491165
1968,775.2,2.1238356,0,44.1,1862.6672,5.103198,-24.42275,23.806417,45.57603174,-109.1491165
1969,505.8,1.3895605,0,75.5,1805.2395,4.9594493,-28.504004,26.229334,45.57603174,-109.1491165
